Proposal ID,Programme Name,Sub-Programme,Supplement,Lead Applicant,Research Body,Proposal Title,Start Date,End Date,Funding
02/IN.1/I47s1,SFI Principal Investigator Programme,,Equipment Supplement,John Donegan,Trinity College Dublin (TCD),Equipment Supplement,11/01/2004,4/30/2005,293214
00/PI.1/B045s1,SFI Principal Investigator Programme,,Equipment Supplement,Kingston Mills,Trinity College Dublin (TCD),Equipment Supplement,11/01/2004,4/30/2005,387200
02/PI.1/B024s1,SFI Principal Investigator Programme,,Equipment Supplement,Luke O'Neill,Trinity College Dublin (TCD),Equipment Supplement,11/01/2004,4/30/2005,483930
02/IN.1/B93s1,SFI Principal Investigator Programme,,Equipment Supplement,Timothy Mantle,Trinity College Dublin (TCD),Equipment Supplement,11/01/2004,4/30/2005,500000
01/PI.2/C033s2,SFI Principal Investigator Programme,,Equipment Supplement,Suzi Jarvis,Trinity College Dublin (TCD),Equipment Supplement,11/01/2004,4/30/2005,177221
01/F.1/C013s1,SFI Principal Investigator Programme,,Equipment Supplement,Guillaume Huyet,Tyndall National Institute (TNI),Equipment Supplement,11/01/2004,4/30/2005,155000
02/IN.1/I172s1,SFI Principal Investigator Programme,,Equipment Supplement,Clivia Marfa sotomayor Torres,University College Cork (UCC),Equipment Supplement,11/01/2004,4/30/2005,498901
01/PI.2/C041s1,SFI Principal Investigator Programme,,Equipment Supplement,Martyn Pemble,University College Cork (UCC),Equipment Supplement,11/01/2004,4/30/2005,69149
03/IN.1/I340s1,SFI Principal Investigator Programme,,Equipment Supplement,David Cotter,Tyndall National Institute (TNI),Equipment Supplement,11/01/2004,4/30/2005,187050
03/IN.1/I340s2,SFI Principal Investigator Programme,,Equipment Supplement,David Cotter,Tyndall National Institute (TNI),Equipment Supplement,11/01/2004,4/30/2005,403947
02/IN.1/B70s1,SFI Principal Investigator Programme,,Equipment Supplement,Mary McCaffrey,University College Cork (UCC),Equipment Supplement,11/01/2004,4/30/2005,342551
02/IN.1/I025s1,SFI Principal Investigator Programme,,Equipment Supplement,Thomas Brazil,University College Dublin (UCD),Equipment Supplement,11/01/2004,4/30/2005,64000
02/IN.1/I99s1,SFI Principal Investigator Programme,,Equipment Supplement,Gerard O'Sullivan,University College Dublin (UCD),Equipment Supplement,11/01/2004,4/30/2005,142900
01/FE1/B022s1,SFI Supplement,,Equipment Supplement,Cormac Taylor,University College Dublin (UCD),Equipment Supplement,11/01/2004,4/30/2005,280101
03/IN.2/B352s1,SFI Principal Investigator Programme,,Equipment Supplement,Paul Murphy,University College Dublin (UCD),Equipment Supplement,11/01/2004,4/30/2005,390000
02/IN.1/B266s1,SFI Principal Investigator Programme,,Equipment Supplement,Martin Caffrey,University of Limerick (UL),Equipment Supplement,11/01/2004,4/30/2005,116241
02/IN1/I236s2,SFI Principal Investigator Programme,,Industrial Supplement,Werner Blau,Trinity College Dublin (TCD),Applications of Carbon Nanotubes in Electronic and Optoelectronic Devices,01/01/2005,8/19/2007,296555
03/IN3/I396s,SFI Principal Investigator Programme,,General Supplement,Doug Leith,"National University of Ireland, Maynooth (NUIM)",National Communications Network Research Institute,12/01/2004,5/25/2006,769444
04/HEC/I584,SFI Infrastructural Support,Irish Centre for High-End Computing (ICHEC),,Andy Shearer,"National University of Ireland, Galway (NUIG)",A National Centre for High-End Computing,12/01/2004,12/10/2008,2395918
01/PI.1/C077A.2s1,SFI Principal Investigator Programme,,Equipment Supplement,John Boland,Trinity College Dublin (TCD),Equipment Supplement - Atomtronics: Nanoscale Science and Technology for Future Information and Communications,01/01/2005,12/27/2005,142175
04/RP1/B499s,SFI Supplement,,Equipment Supplement,Michael Dunn,University College Dublin (UCD),Equipment Supplement for Research Professorship in Biomedical Proteomics,01/01/2005,12/27/2005,336396
04/IN3/B581,SFI Principal Investigator Programme,,,Rory More O'Ferrall,University College Dublin (UCD),Applications of Biotechnology to Oxidative Biotransformations of Aromatic Substrates: Utilisation and Toxicity of Bioproducts,02/01/2005,06/10/2009,1013210
01/FE1/B018s3,SFI Supplement,,Equipment Supplement,Ciaran Morrison,"National University of Ireland, Galway (NUIG)",Equipment for Underlying Grant,01/01/2005,12/27/2005,35630
04/IN3/I524,SFI Principal Investigator Programme,,,Gregory Provan,University College Cork (UCC),Integrated Analysis of Systems of Systems,02/01/2005,7/31/2008,563982
04/HEC/I584s1,SFI Infrastructural Support,Irish Centre for High-End Computing (ICHEC),,Andy Shearer,"National University of Ireland, Galway (NUIG)",A National Centre for High-End Computing,01/01/2005,12/11/2008,810612
00/PI.1/C043A.s1,SFI Principal Investigator Programme,,General Supplement,Michael Coey,Trinity College Dublin (TCD),Materials & Consumables Supplement - Atomtronics: Nanoscale Science and Technology for Future Information and Communications,02/01/2005,7/26/2006,181059
04/BR/B0464s1,SFI Research Frontiers Programme ,Basic Research Grant,Equipment Supplement,Andrew Harkin,University College Cork (UCC),Equipment Supplement to Antidepressent efficacy following methylenedioxymethamphetamine-induced serotonin loss,02/01/2005,10/29/2005,11000
04/IN3/B559,SFI Principal Investigator Programme,,,Brendan Kennedy,University College Dublin (UCD),Applying Mutagenesis Screens in Zebrafish to Identify and Characterise Genes with Unique and Essential Functions in Cone Photoreceptors of the Visual System,09/01/2004,08/11/2008,756510
04/IN3/B489,SFI Principal Investigator Programme,,,Finian Martin,University College Dublin (UCD),Targets of glucocorticoid-JNK signalling in 3D-mammary epithelial cell assemblies,02/01/2005,04/11/2009,866127
04/IN3/B509,SFI Principal Investigator Programme,,,Nora O'Brien,University College Cork (UCC),Development of a rapid transepithelial in vitro model that can be applied to monitor bioavailability of phytochemicals in biotechnologically enhanced novel functional and conventional foods.,03/01/2005,08/07/2009,740123
04/IN3/I568,SFI Principal Investigator Programme,,,Fred Cummins,University College Dublin (UCD),CHAINS: CHAracterizing INdividual Speakers: Basic and Applied Research on Speaker Identity,04/01/2005,09/07/2009,541615
01/F.1/B006s1,SFI Principal Investigator Programme,,General Supplement,Kevin Mitchell,Trinity College Dublin (TCD),General Supplement to A Molecular Genetic Approach to Elucidate Brain Wiring Mechanism in Mouse,03/01/2005,11/16/2007,78000
04/IN3/I608,SFI Principal Investigator Programme,,,David Nikogosyan,University College Cork (UCC),Two-Quantum Refractive Index Engineering and Poling of Fused Silica,05/01/2005,4/15/2008,188186
04/FE1/I568,SFI Principal Investigator Programme,,,Klaus Pohl,University of Limerick (UL),Software-Systems Requirements Engineering Centre (S2 REC),03/01/2005,10/22/2006,202795
04/W4/I634,SFI ETS Walton Visitor Award,,,Jean Pierre Colinge,University College Cork (UCC),Silicon on Insulator Nanostructures,07/01/2005,12/28/2005,44730
04/W4/I630,SFI ETS Walton Visitor Award,,,Michael Frank Goodchild,"National University of Ireland, Maynooth (NUIM)",Interoperability of geographic Information: The Spatial Web,11/01/2005,7/29/2006,167471
04/W4/B640,SFI ETS Walton Visitor Award,,,Susan Marie Lunte,Dublin City University (DCU),Microfabricated Separation Based Sensors for Biotechnology Applications,02/01/2006,1/31/2007,86764
04/W4/I642,SFI ETS Walton Visitor Award,,,Stephen A Maas,University College Dublin (UCD),Analysis and Modeling Technologies for Low-Noise RF and Microwave Oscillators,05/01/2005,10/28/2005,96262
04/W4/M629,SFI ETS Walton Visitor Award,,,Andrey Rogach,Trinity College Dublin (TCD),CdTe quantum dots for luminescent labelling of cells and for nanophotonic devices base on photonic methods,08/01/2005,9/25/2006,146870
04/W4/B641,SFI ETS Walton Visitor Award,,,Stefan Schwartz,Technological University Dublin (TU Dublin),Regulation of papillomavirus gene expression in cervical carcinogenesis: significance to pathogenesis and development of diagnostic and therapeutic agents.,06/01/2005,5/27/2006,96832
04/W2/B625,SFI ETS Walton Visitor Award,,,Anthony John Windebank,"National University of Ireland, Galway (NUIG)",Tissue Engineering for Repair of Spinal Cord Injury,08/01/2005,7/27/2006,235966
04/W4/B643,SFI ETS Walton Visitor Award,,,Mark D Shriver,University College Dublin (UCD),Irish Population Genomics: A Foundation for Pharmacogenomic and Complex Disease Research,02/01/2006,1/27/2007,90380
02/In1/I28ur05,SFI UREKA Programme,,,Sile Nic Chormaic,Munster Technological University (MTU),Characterisation of a cold atomic source for use in quantum engineering.,05/01/2005,7/30/2005,6400
03/IN3/B402UR05,SFI UREKA Programme,,,Robert Forster,Dublin City University (DCU),Superquenching in luminescent polymers for biomolecule detection,4/18/2005,7/17/2005,4871
03/IN3/B395UR05a,SFI UREKA Programme,,,Martin Clynes,Dublin City University (DCU),Proteomic analysis of cellular extracts,5/30/2005,8/28/2005,1379
03/IN3/B395UR05b,SFI UREKA Programme,,,Martin Clynes,Dublin City University (DCU),SELDI analysis of cell culture supernatants,5/30/2005,8/28/2005,5600
04/BRG/E0077ur05,SFI UREKA Programme,,,Yan Delauré,Dublin City University (DCU),A computational efficiency analysis of a range of iterative methods for the solution of Navier Stokes Equations.,05/09/2005,08/07/2005,6400
04/BR/B0588UR05,SFI UREKA Programme,,,Michael O'Connell,Dublin City University (DCU),Construction of mutants to elucidate the interplay between novel regulators of iron responsive genes in Sinorhizobium meliloti.,5/23/2005,8/21/2005,6400
03/IN3/1396ur05,SFI UREKA Programme,,,Mark Davis,Technological University Dublin (TU Dublin),Experimental validation of a RRM scheme for QoS provisioning in IEEE 802.11e wireless LANs,6/27/2005,9/25/2005,5900
04/BR/B0431UR05,SFI UREKA Programme,,,David Dowling,"Institute of Technology, Carlow (ITC)",Investigation of substrate specificity of BphK from Burkholderia LB400 using a ferric thiocyanate colorimetric assay to identify a novel substrate with biological significance in PCB degradation.,06/01/2005,8/30/2005,5600
01/F1/B018UR05.1,SFI UREKA Programme,,,Ciaran Morrison,"National University of Ireland, Galway (NUIG)",Generation of a novel Scc1 allele,5/15/2005,8/13/2005,6400
01/F1/B018UR05.2,SFI UREKA Programme,,,Ciaran Morrison,"National University of Ireland, Galway (NUIG)",Impact of telomere mutations on vertebrate cells,5/15/2005,8/13/2005,6400
04/BR/B0407UR05.1,SFI UREKA Programme,,,Emer Colleran,"National University of Ireland, Galway (NUIG)",The study of hydrogenophilic acetogens (homoacetogens) in anaerobic sludge: in-reactor studies of the role of homoacetogens.,5/23/2005,8/21/2005,5000
04/BR/B0407UR05.2,SFI UREKA Programme,,,Emer Colleran,"National University of Ireland, Galway (NUIG)",The study of hydrogenophilic acetogens (homoacetogens) in anaerobic sludge: in-reactor studies of the role of homoacetogens.,6/13/2005,09/11/2005,5000
02/IN.1/I231ur05.1,SFI UREKA Programme,,,Alan Ryder,"National University of Ireland, Galway (NUIG)",Development of a nonoparticle based metal enhanced fluorescence platform.,06/06/2005,09/04/2005,5300
02/IN.1/I231ur05.2,SFI UREKA Programme,,,Alan Ryder,"National University of Ireland, Galway (NUIG)",Quantitative analysis of solid mixtures using Raman spectroscopy and Chemometrics,06/06/2005,09/04/2005,5300
02/IN1/B032UR05,SFI UREKA Programme,,,Anne Burnell,"National University of Ireland, Maynooth (NUIM)",Dry life: the characterisation of anhydrobiotic genes in the nematode Panagrolaimus sp.,6/13/2005,09/11/2005,5600
02/IN1/B102UR05,SFI UREKA Programme,,,Phil Dix,"National University of Ireland, Maynooth (NUIM)",Enhanced leaf methionine production through extension of the plastidial Rubisco large subunit gene,6/13/2005,09/11/2005,5349
04/BR/C0182ur05,SFI UREKA Programme,,,John McCaffrey,"National University of Ireland, Maynooth (NUIM)",Time-resolved NIR luminescence spectroscopy of solvated electrons in solid xenon.,6/13/2005,09/11/2005,5600
04/YI1/M518ur05a,SFI UREKA Programme,,,Mario Fares,"National University of Ireland, Maynooth (NUIM)",A new method to detect functionally and structurally important peptide regions in proteins,06/01/2005,8/30/2005,5600
04/YI1/M518ur05b,SFI UREKA Programme,,,Mario Fares,"National University of Ireland, Maynooth (NUIM)",Computational analysis of intra and inter-molecular co-variation in key cellular proteins.,06/01/2005,8/30/2005,5600
02/In.1/I91ur05b,SFI UREKA Programme,,,John Anthony Murphy,"National University of Ireland, Maynooth (NUIM)",Applications of CAD software tools for the terahertz waveband and the development of a dual-modality medical imaging facility.,6/15/2005,9/13/2005,5000
02/IN1/B238UR05,SFI UREKA Programme,,,Jane Farrar,Trinity College Dublin (TCD),shRNA-based suppression of photoreceptor genes in retinal explants,07/01/2005,9/29/2005,5000
02/IN1/B267UR05a,SFI UREKA Programme,,,Paula Murphy,Trinity College Dublin (TCD),Establishing in ovo electroporation to introduce DNA into the chick embryo: a model for Wnt signal pathway interference in the developing limb,6/27/2005,9/25/2005,5600
02/IN1/B267UR05b,SFI UREKA Programme,,,Paula Murphy,Trinity College Dublin (TCD),Morphogeneis of the face: 3D modelling of Wnt pathway gene expression patterns during development of the facial region of the mouse embryo,06/06/2005,09/04/2005,5600
03/IN3/B370UR05,SFI UREKA Programme,,,Timothy Foster,Trinity College Dublin (TCD),Molecular analysis of complement factor C3 binding by surface protein Sas I of Staphylococcus aureus,6/27/2005,9/25/2005,5900
04/RP1/B482UR05a,SFI UREKA Programme,,,Mathias Senge,Trinity College Dublin (TCD),Nonplanar tetra-meso-subsituted porphyrins with mixed distortion modes,06/01/2005,8/30/2005,5900
04/RP1/B482UR05b,SFI UREKA Programme,,,Mathias Senge,Trinity College Dublin (TCD),Synthesis and testing of photosensitisers for photodynamic cancer therapy and indication,06/01/2005,8/30/2005,5900
02/IN1/B043UR05a,SFI UREKA Programme,,,Keith Tipton,Trinity College Dublin (TCD),Computational analysis of synaptic events,06/01/2005,8/30/2005,5600
02/IN1/B043UR05b,SFI UREKA Programme,,,Keith Tipton,Trinity College Dublin (TCD),Modelling flux control in the nerve terminal,06/01/2005,8/30/2005,5600
03/IN3/B364UR05,SFI UREKA Programme,,,Gregory Atkins,Trinity College Dublin (TCD),Determination of the effect of the SFV vector on a squamous cell carcinoma cell line,5/23/2005,8/21/2005,6400
03/IN.1/B351UR05,SFI UREKA Programme,,,Marina Lynch,Trinity College Dublin (TCD),Can age-related upregulation of microglial activation in the cortex of aged rats be modulated by EPA and/or rosiglitazone,06/06/2005,09/04/2005,5600
01/PI.1/C033UR05,SFI UREKA Programme,,,Suzi Jarvis,Trinity College Dublin (TCD),Improving quantitative atomic force microscope measurements,6/27/2005,9/25/2005,5600
04/BR/P0282ur05a,SFI UREKA Programme,,,Sebastian van Dijken,Trinity College Dublin (TCD),Growth and characterisation of magnetic semiconductor oxides.,05/12/2005,08/10/2005,6400
04/BR/P0282ur05b,SFI UREKA Programme,,,Sebastian van Dijken,Trinity College Dublin (TCD),Growth of room temperature conducting ferromagnetic semiconductor electrodes for spintronic applications.,5/16/2005,8/14/2005,5900
04/BRG/ES0029UR05,SFI UREKA Programme,,,Valentin Troll,Trinity College Dublin (TCD),A chemical re-investigation of the Mourne Mountains,07/01/2005,9/29/2005,5600
04/BRG/B0396UR05,SFI UREKA Programme,,,Veronica Campbell,Trinity College Dublin (TCD),Cannabinoids and p53 signalling in the brain.,07/01/2005,9/29/2005,5600
04/BR/B049UR05a,SFI UREKA Programme,,,Thomas Connor,Trinity College Dublin (TCD),Regulation of 2-adrenoceptor expression and function on glial cells by inflamatory cytokines: relevance to multiple sclerosis.,06/06/2005,09/04/2005,5600
04/BR/B049UR05b,SFI UREKA Programme,,,Thomas Connor,Trinity College Dublin (TCD),Regulation of amyloid-induced microglial activation by noradrenaline.,06/06/2005,09/04/2005,5600
02/IN.1/I250ur05a,SFI UREKA Programme,,,Vinny Cahill,Trinity College Dublin (TCD),Evaluation of sentient object middleware for sensor networks,07/04/2005,10/02/2005,5600
02/IN.1/I250ur05b,SFI UREKA Programme,,,Vinny Cahill,Trinity College Dublin (TCD),Investigation of collaborative reinforcement learning as a co-ordination model for sentient objects,05/01/2005,7/30/2005,5900
00/PI.1/C043ur05.1,SFI UREKA Programme,,,Michael Coey,Trinity College Dublin (TCD),Dilute ferromagnetic oxide multilayered structures,05/01/2005,7/30/2005,6400
00/PI.1/C043ur05.2,SFI UREKA Programme,,,Michael Coey,Trinity College Dublin (TCD),Synthesis and characterisation of Si/CdTe/X (X= Bi and Co) and Si/Au/Bi thin films,06/01/2005,8/30/2005,5900
00/PI.1/C043ur05.3,SFI UREKA Programme,,,Michael Coey,Trinity College Dublin (TCD),Application of Co-doped ZnO films in multilayer devices,7/25/2005,10/23/2005,5900
02/IN1/I175ur05.2,SFI UREKA Programme,,,Stefano Sanvito,Trinity College Dublin (TCD),Quantum genetic algorithm for spin systems,6/15/2005,9/13/2005,5600
03/IN3/B373UR05,SFI UREKA Programme,,,Max Dow,University College Cork (UCC),Functional genomics of a signalling and regulation network involved in the virulence of a bacterial pathogen,06/06/2005,09/04/2005,4915
02/IN1/B070UR05,SFI UREKA Programme,,,Mary McCaffrey,University College Cork (UCC),Analysis of expression levels and localisation patterns of Rab11 and Rab11-FIP protein isoforms in various human cancer cell lines,06/06/2005,09/04/2005,5506
02/IN1/B198UR05.1,SFI UREKA Programme,,,Douwe van Sinderen,University College Cork (UCC),Immunological investigation of the tail structure of a lactococcal bacteriophage,06/01/2005,8/30/2005,5600
02/IN1/B198UR05.2,SFI UREKA Programme,,,Douwe van Sinderen,University College Cork (UCC),A bioinformatics approach to phage genomics and comparative analysis,06/01/2005,8/30/2005,5600
02/IN1/B059UR05,SFI UREKA Programme,,,Rosemary O'Connor,University College Cork (UCC),Cloning and expression of a novel gene in breast cancer,06/06/2005,09/04/2005,5484
02/IN1/B049UR05.1,SFI UREKA Programme,,,Charles Spillane,University College Cork (UCC),Epigenetics of parthenogenetic reproduction using apomitic nematodes,6/13/2005,09/11/2005,5900
02/IN1/B049UR05.2,SFI UREKA Programme,,,Charles Spillane,University College Cork (UCC),Epigenetics of gene dosage,08/01/2005,10/30/2005,6100
02/IN1/B222UR05,SFI UREKA Programme,,,Thomas Cotter,University College Cork (UCC),Exploring the expression of programmed cell death (apoptosis) regulating proteins in the eye,06/01/2005,8/30/2005,5443
02/IN1/B84UR05,SFI UREKA Programme,,,Damian Arrigan,Tyndall National Institute (TNI),Calis[4]arenes and homooxacalix[3]arenes as receptors for the selective sensing of biologically active ions,07/04/2005,10/02/2005,5600
04/BR/P0225ur05a,SFI UREKA Programme,,,Paul Callanan,University College Cork (UCC),Archival observations of the black hole binary GRO J0422+32,07/01/2005,9/29/2005,4800
04/BR/P0225ur05b,SFI UREKA Programme,,,Paul Callanan,University College Cork (UCC),Observations of the new X-ray transient IGR J00291+5934,06/01/2005,8/30/2005,4800
04/BR/P0245ur05,SFI UREKA Programme,,,denise gabuzda,University College Cork (UCC),Ultra high resolution imaging of active galactic nuclei,06/01/2005,8/30/2005,5600
04/BR/PO245ur05,SFI UREKA Programme,,,denise gabuzda,University College Cork (UCC),Investigating compact regions in active galactic nuclei with coordinated optical and radio measurements.,06/01/2005,8/30/2005,5600
04/BR/B0597UR05,SFI UREKA Programme,,,Fergal O'Gara,University College Cork (UCC),Functional genomic approaches to elucidate novel bacterial genes modulating mircobial-host interactions.,6/13/2005,09/11/2005,4916
04/BR/B0464UR05,SFI UREKA Programme,,,Andrew Harkin,University College Cork (UCC),Does fluoxetine potentiate methylenedioxymethamphetamine (MDMA Ecstasy) induced serotonin nerve terminal loss,06/06/2005,09/04/2005,5507
02/In.1/I229ur05,SFI UREKA Programme,,,Stephen Fahy,University College Cork (UCC),Electron wave propoagation in semiconductor alloys,6/20/2005,9/18/2005,5600
02/IN.1/181ur05.1,SFI UREKA Programme,,,Michel Schellekens,University College Cork (UCC),Algorithm animation for data-structuring operations in ACETT,06/06/2005,09/05/2005,5573
02/IN.1/181ur05.2,SFI UREKA Programme,,,Michel Schellekens,University College Cork (UCC),Worst-case time estimates for ACETT programs.,06/06/2005,09/05/2005,5586
02/IN1/B78UR05a,SFI UREKA Programme,,,Alexander Evans,University College Dublin (UCD),Growth hormone polymorphism and early embryo development,07/04/2005,10/02/2005,5600
02/IN1/B78UR05b,SFI UREKA Programme,,,Alexander Evans,University College Dublin (UCD),Effects of progesterone on early embryo development,07/04/2005,10/02/2005,5000
04/IN3/B581UR05,SFI UREKA Programme,,,Rory More O'Ferrall,University College Dublin (UCD),Control of structure and reactivity in the aromatisation of oxidative metabolites of benzene substrates,5/31/2005,8/29/2005,5300
03/IN3/B352UR05,SFI UREKA Programme,,,Paul Murphy,University College Dublin (UCD),Synthesis of castanospermine analogues,05/01/2005,7/30/2005,5600
02/IN1/B117UR05,SFI UREKA Programme,,,Gerard Cagney,University College Dublin (UCD),Platelet releasate effects on leukocyte-endothelial cell interactions,06/01/2005,8/30/2005,5600
01/F1/B028UR05,SFI UREKA Programme,,,David MacHugh,University College Dublin (UCD),Microarray and qRT-PCR validation studies of gene expression in trypanotolerant and trypanosusceptible cattle experimentally infected with trypanosomes,6/15/2005,9/13/2005,5600
01/FI/B028UR05,SFI UREKA Programme,,,David MacHugh,University College Dublin (UCD),Study of gene expression in peripheral blood mononuclear cells from cattle infected with bovine tuberculosis,6/15/2005,9/13/2005,5600
04/BR/B0487UR05,SFI UREKA Programme,,,Brendan Kennedy,University College Dublin (UCD),Characterising regulators of cone photoreceptor gene expression,05/01/2005,7/30/2005,6400
04/BRG/B0589UR05a,SFI UREKA Programme,,,David O'Connell,University College Dublin (UCD),Development of PrPsc specific human antibodies to analyse conformational structures of Scrapie strains in TSE,06/01/2005,8/30/2005,5600
04/BRG/B0589UR05b,SFI UREKA Programme,,,David O'Connell,University College Dublin (UCD),Development of PrPsc specific human antibodies to analyse conformational structures of Scrapie strains in TSE,06/01/2005,8/30/2005,5600
04/BR/B0450UR05,SFI UREKA Programme,,,William Gallagher,University College Dublin (UCD),Examination of fibulin-4 proteolysis in vitro,05/01/2005,7/30/2005,5900
04/BR/B0071UR05,SFI UREKA Programme,,,Gerry Byrne,University College Dublin (UCD),Effect of plasma treatment on cellular response,05/01/2005,7/31/2005,3600
04/BRG/CO185UR05,SFI UREKA Programme,,,Michael McGlinchey,University College Dublin (UCD),From allenes to tetracenes:  electroluminescent organometallic materials.,05/01/2005,7/30/2005,5600
04/BR/0205UR05.1,SFI UREKA Programme,,,Peter Rutledge,University College Dublin (UCD),Peptide mimics of nitrile hydratases:  crystallographic and mechanistic studies.,6/20/2005,9/18/2005,5600
04/BR/0205UR05.2,SFI UREKA Programme,,,Peter Rutledge,University College Dublin (UCD),Peptide mimics of nitrile hydratases:  crystallographic and mechanistic studies.,6/20/2005,9/18/2005,5600
04/BR/B0527UR05,SFI UREKA Programme,,,James McRedmond,University College Dublin (UCD),Systematic profiling of proteins in platelet compartments: identification of signals and effectors of platelet activation.,06/01/2005,8/30/2005,5600
04/BR/B0571UR05,SFI UREKA Programme,,,Cormac Murphy,University College Dublin (UCD),Nutrient effects on antibiotic production by Streptomyces viridogenes,06/07/2005,09/05/2005,5600
04/BRG/0581UR05a,SFI UREKA Programme,,,Carl Ng,University College Dublin (UCD),Investigating sub-cellular localisation of fluorscent protein-tagged ceramidases in arabidopsis protoplasts,6/13/2005,09/11/2005,5600
04/BRG/0581UR05b,SFI UREKA Programme,,,Carl Ng,University College Dublin (UCD),Vector contruction for silencing the sphingosine transfer protein in plants using RNA interference.,6/27/2005,9/25/2005,4692
02/IN.1/I025ur05,SFI UREKA Programme,,,Thomas Brazil,University College Dublin (UCD),New approaches to high frequency non-linear active semiconductor device modelling,07/01/2005,9/29/2005,5000
04/BR/B0410UR05.1,SFI UREKA Programme,,,Jakki Cooney,University of Limerick (UL),Investigation of the effect of environmental stimuli on production of the inhibitor component of a recently described bacterial toxin anti-toxin pair.,6/13/2005,09/11/2005,5593
04/BR/B0410UR05.2,SFI UREKA Programme,,,Jakki Cooney,University of Limerick (UL),Characterisation of newly identified bacterial toxin anti-toxin pair.,6/13/2005,09/11/2005,5540
03/IN.3/I396UR05,SFI UREKA Programme,,,John Nelson,University of Limerick (UL),MESH networking,07/01/2005,9/29/2005,5074
05/UR/I724,SFI UREKA Site Programme,,,Werner Blau,Trinity College Dublin (TCD),UREKA Site - Trinity College Sami Nasr Institute for Advanced Materials in ICT,06/01/2005,9/19/2007,380567
05/UR/B713,SFI UREKA Site Programme,,,Aoife Boyd,"National University of Ireland, Galway (NUIG)",Programme for the encouragement and training of undergraduate students to pursue careers in infectious disease research,06/01/2005,9/19/2007,224539
05/UR/I714,SFI UREKA Site Programme,,,Hugh J. Byrne,Technological University Dublin (TU Dublin),FOCAS on Education in Advanced Techniques and Research Expertise (FEATURE),06/01/2005,9/19/2007,392652
05/UR/B720,SFI UREKA Site Programme,,,Gareth Dyke,University College Dublin (UCD),Collections based Biology in Dublin,06/01/2005,9/19/2007,256266
05/UR/B728,SFI UREKA Site Programme,,,Terry Smith,"National University of Ireland, Galway (NUIG)",SURF BioNET - (Summer Undergraduate Research Fellowship in a BIOmedical Research NETwork),06/01/2005,9/19/2007,402387
02/IN1/I28STAR05,SFI STAR Award,,,Sile Nic Chormaic,Munster Technological University (MTU),Atom trapping and applications in future,06/01/2005,8/30/2005,14348
02/IN1/I95STAR05,SFI STAR Award,,,Enda McGlynn,Dublin City University (DCU),ZnO nanowire templates for binding chemical agents - towards efficient white light emitters,06/01/2005,8/30/2005,7836
03/IN3/I427STAR05,SFI STAR Award,,,Liam Barry,Dublin City University (DCU),Tuneable lasers in communications technology,06/01/2005,8/30/2005,9967
02/IN1/I056STAR05,SFI STAR Award,,,Paul Whelan,Dublin City University (DCU),Development of 3-D medical imaging technologies,06/01/2005,8/30/2005,7945
03/IN3/E395STAR05a,SFI STAR Award,,,Martin Clynes,Dublin City University (DCU),Gene expression and silencing in cells,06/01/2005,8/30/2005,12368
03/IN3/E395STAR05b,SFI STAR Award,,,Martin Clynes,Dublin City University (DCU),DNA microarrays as probes for gene expression,06/01/2005,8/30/2005,11591
03/IN3/B402CSTAR05,SFI STAR Award,,,Brian McCraith,Dublin City University (DCU),Design fabrication and testing of a diagnostic biochip,06/01/2005,8/30/2005,13882
03/RPI/B345STAR05,SFI STAR Award,,,Oliver Dolly,Dublin City University (DCU),New drugs to control brain channelopathies,06/01/2005,8/30/2005,12027
04/BR/CS0694STAR05a,SFI STAR Award,,,Christopher Bussler,"National University of Ireland, Galway (NUIG)",Using open source software to create a business process friendly language,06/01/2005,8/30/2005,14317
04/BR/CS0694STAR05b,SFI STAR Award,,,Christopher Bussler,"National University of Ireland, Galway (NUIG)",Using open source software to create a business process friendly language,06/01/2005,8/30/2005,11183
02/IN.1/M231STAR05,SFI STAR Award,,,Alan Ryder,"National University of Ireland, Galway (NUIG)",Developing a real-time pH sensor for clinical use,06/01/2005,8/30/2005,10778
03/CE2/B312STAR05a,SFI STAR Award,,,Frank Barry,"National University of Ireland, Galway (NUIG)",Generating various tissues from adult stem cells,06/01/2005,8/30/2005,10131
03/CE2/B312STAR05b,SFI STAR Award,,,Timothy O'Brien,"National University of Ireland, Galway (NUIG)",Developing a novel vector for gene therapy,06/01/2005,8/30/2005,12974
03/RP1/1382STAR05a,SFI STAR Award,,,Stewart Fotheringham,"National University of Ireland, Maynooth (NUIM)",Analysis and display of geographic spatial data,06/01/2005,8/30/2005,8329
03/RP1/1382STAR05b,SFI STAR Award,,,Stewart Fotheringham,"National University of Ireland, Maynooth (NUIM)",Analysis and display of geographic spatial data,06/01/2005,8/30/2005,11311
02/IN.1/BO32STAR05,SFI STAR Award,,,Anne Burnell,"National University of Ireland, Maynooth (NUIM)",Desiccation tolerance genes in nematode worms,06/01/2005,8/30/2005,10347
02/IN1/B52RSTAR05,SFI STAR Award,,,Shirley O'Dea,"National University of Ireland, Maynooth (NUIM)",Evaluating a cell line as a lung injury model,06/01/2005,8/30/2005,10674
04/YI1/M518STAR05,SFI STAR Award,,,Mario Fares,"National University of Ireland, Maynooth (NUIM)",Factors involved in cell viability,06/01/2005,8/30/2005,12235
